company_permalink,company_name,Above 50,company_category_code,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_category_code,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_type,funded_at,funded_month,funded_quarter,funded_year,raised_amount_usd
/company/evalve,Evalve,yes,biotech,USA,CA,SF Bay,Menlo Park,/company/abbott,Abbott Labs,biotech,USA,IL,Chicago,Des Plaines,series-c+,11/27/2007,2007-11,2007-Q4,2007,60000000
/company/ovalis,Ovalis,no,biotech,USA,CA,SF Bay,Mountain View,/company/abbott,Abbott Labs,biotech,USA,IL,Chicago,Des Plaines,series-b,1/30/2007,2007-01,2007-Q1,2007,6600000
/company/alvine-pharmaceuticals,Alvine Pharmaceuticals,yes,biotech,USA,CA,SF Bay,San Carlos,/company/abbvie,AbbVie,biotech,USA,IL,Chicago,Chicago,private-equity,5/14/2013,2013-05,2013-Q2,2013,70000000
/company/avaxia-biologics,Avaxia Biologics,no,biotech,USA,MA,Boston,Lexington,/company/abbvie,AbbVie,biotech,USA,IL,Chicago,Chicago,series-b,6/7/2013,2013-06,2013-Q2,2013,11500000
/company/aurasense-therapeutics,AuraSense Therapeutics,no,biotech,USA,IL,Chicago,Evanston,/company/abbvie,AbbVie,biotech,USA,IL,Chicago,Chicago,series-b,7/31/2013,2013-07,2013-Q3,2013,
/company/corridor-pharmaceuticals,Corridor Pharmaceuticals,no,biotech,USA,MD,Baltimore,Towson,/company/acidophil,Acidophil,biotech,USA,MD,Baltimore,Baltimore,series-a,6/16/2010,2010-06,2010-Q2,2010,15000000
/company/vestagen-technical-textiles,Vestagen Technical Textiles,no,health,USA,FL,Orlando,Orlando,/company/advent-life-sciences,Advent Life Sciences,,,,unknown,,venture,8/27/2013,2013-08,2013-Q3,2013,8250000
/company/gen9,Gen9,no,biotech,USA,MA,Boston,Cambridge,/company/agilent,Agilent Technologies,biotech,USA,CA,SF Bay,Santa Clara,private-equity,4/24/2013,2013-04,2013-Q2,2013,21000000
/company/civitas-therapeutics,Civitas Therapeutics,no,biotech,USA,MA,Boston,Chelsea,/company/alkermes,Alkermes,biotech,USA,MA,Boston,Waltham,series-b,9/11/2013,2013-09,2013-Q3,2013,38000000
/company/biosystem-development,Biosystem Development,no,biotech,USA,WI,Madison,Madison,/company/all-metal-stamping,All Metal Stamping,,USA,WI,Abbotsford,Abbotsford,venture,11/24/2009,2009-11,2009-Q4,2009,1400000
/company/baronova,BAROnova,no,medical,USA,CA,Santa Barbara,Goleta,/company/allergan,Allergan,biotech,USA,CA,Los Angeles,Irvine,series-b,10/23/2008,2008-10,2008-Q4,2008,7500000
/company/nxthera,NxThera,no,medical,USA,MN,Minneapolis,Saint Paul,/company/american-medical-systems,American Medical Systems,,USA,MN,Minneapolis,Minnetonka,series-b,10/4/2011,2011-10,2011-Q4,2011,21600000
/company/presidio-networked-solutions,Presidio,no,health,USA,MD,Washington DC,Greenbelt,/company/american-securities,American Securities,other,,,unknown,,venture,4/4/2011,2011-04,2011-Q2,2011,
/company/miragen-therapeutics,Miragen Therapeutics,no,biotech,USA,CO,Denver,Boulder,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-b,6/3/2009,2009-06,2009-Q2,2009,4000000
/company/interkrin,InteKrin,no,biotech,USA,CA,SF Bay,Los Altos,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-c+,8/4/2008,2008-08,2008-Q3,2008,18500000
/company/calistoga-pharmaceuticals,Calistoga Pharmaceuticals,no,biotech,USA,WA,Seattle,Seattle,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-b,5/5/2009,2009-05,2009-Q2,2009,30000000
/company/epizyme,Epizyme,no,biotech,USA,MA,Boston,Cambridge,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-b,10/7/2009,2009-10,2009-Q4,2009,32000000
/company/trinity-biosystems,Trinity Biosystems,no,biotech,USA,CA,SF Bay,Menlo Park,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,venture,11/9/2009,2009-11,2009-Q4,2009,7500000
/company/allozyne,Allozyne,no,biotech,USA,WA,Seattle,Seattle,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-b,10/26/2007,2007-10,2007-Q4,2007,30000000
/company/calistoga-pharmaceuticals,Calistoga Pharmaceuticals,no,biotech,USA,WA,Seattle,Seattle,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-a,3/5/2007,2007-03,2007-Q1,2007,21000000
/company/argolyn-bioscience,Argolyn Bioscience,no,biotech,USA,NC,Raleigh-Durham,Durham,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-a,6/25/2007,2007-06,2007-Q2,2007,15800000
/company/vlst-corporation,VLST Corporation,yes,biotech,USA,WA,Seattle,Seattle,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-b,6/16/2006,2006-06,2006-Q2,2006,55000000
/company/trinity-biosystems,Trinity Biosystems,no,biotech,USA,CA,SF Bay,Menlo Park,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-b,7/18/2006,2006-07,2006-Q3,2006,21000000
/company/calistoga-pharmaceuticals,Calistoga Pharmaceuticals,no,biotech,USA,WA,Seattle,Seattle,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-c+,6/30/2010,2010-06,2010-Q2,2010,40000000
/company/ptc-therapeutics,PTC Therapeutics,no,biotech,USA,NJ,South Plainfield,South Plainfield,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,venture,11/10/2005,2005-11,2005-Q4,2005,26600000
/company/theraclone-sciences,Theraclone Sciences,no,biotech,USA,WA,Seattle,Seattle,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,venture,3/17/2010,2010-03,2010-Q1,2010,1500000
/company/tetralogic-pharmaceuticals,TetraLogic Pharmaceuticals,no,biotech,USA,PA,Philadelphia,Malvern,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-c+,8/10/2010,2010-08,2010-Q3,2010,32000000
/company/allozyne,Allozyne,no,biotech,USA,WA,Seattle,Seattle,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-a,12/6/2005,2005-12,2005-Q4,2005,3500000
/company/decimmune-therapeutics,DecImmune Therapeutics,no,biotech,USA,MA,Boston,Boston,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,venture,9/27/2010,2010-09,2010-Q3,2010,3200000
/company/sutro-biopharma,Sutro Biopharma,no,biotech,USA,CA,SF Bay,South San Francisco,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-c+,11/17/2010,2010-11,2010-Q4,2010,36500000
/company/acylin-therapeutics,Acylin Therapeutics,no,biotech,USA,WA,Seattle,Seattle,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-a,1/11/2011,2011-01,2011-Q1,2011,4400000
/company/oncofactor-corporation,Oncofactor Corporation,no,biotech,USA,WA,Seattle,Seattle,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-a,8/2/2011,2011-08,2011-Q3,2011,2100000
/company/ardelyx,Ardelyx,no,biotech,USA,CA,SF Bay,Fremont,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-b,8/31/2011,2011-08,2011-Q3,2011,30000000
/company/miragen-therapeutics,Miragen Therapeutics,no,biotech,USA,CO,Denver,Boulder,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-b,4/24/2012,2012-04,2012-Q2,2012,20000000
/company/sutro-biopharma,Sutro Biopharma,no,biotech,USA,CA,SF Bay,South San Francisco,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-c+,5/8/2012,2012-05,2012-Q2,2012,16500000
/company/theraclone-sciences,Theraclone Sciences,no,biotech,USA,WA,Seattle,Seattle,/company/amgen,Amgen,biotech,USA,CA,Los Angeles,Thousand Oaks,series-b,3/25/2013,2013-03,2013-Q1,2013,8000000
/company/bioseek,BioSeek,no,biotech,USA,CA,SF Bay,South San Francisco,/company/amylin-pharmaceuticals,Amylin Pharmaceuticals,biotech,USA,CA,San Diego,San Diego,series-c+,5/23/2007,2007-05,2007-Q2,2007,10000000
/company/companion-pharma,Companion Pharma,no,biotech,USA,MO,Saint Louis,St. Louis,/company/arch-grants,Arch Grants,finance,USA,MO,Saint Louis,St. Louis,other,5/1/2012,2012-05,2012-Q2,2012,50000
/company/calando-pharmaceuticals,Calando Pharmaceuticals,no,biotech,USA,CA,Los Angeles,Pasadena,/company/arrowhead-research,Arrowhead Research,biotech,USA,CA,Los Angeles,Pasadena,venture,1/18/2011,2011-01,2011-Q1,2011,1000000
/company/artisan-pharma,Artisan Pharma,no,biotech,USA,MA,Boston,Waltham,/company/asahi-kasei,Asahi Kasei,,JPN,,Tokyo,Tokyo,series-b,3/1/2010,2010-03,2010-Q1,2010,22000000
/company/nektar-therapeutics,Nektar Therapeutics,no,biotech,USA,CA,SF Bay,San Carlos,/company/astrazeneca,AstraZeneca,biotech,GBR,,London,London,venture,8/28/2013,2013-08,2013-Q3,2013,25000000
/company/gliknik,Gliknik,no,biotech,USA,MD,Baltimore,Baltimore,/company/baxter-international,Baxter International,biotech,USA,IL,Chicago,Deerfield,series-b,10/8/2012,2012-10,2012-Q4,2012,4900000
/company/naurex,Naurex,no,biotech,USA,IL,Chicago,Evanston,/company/baxter-international,Baxter International,biotech,USA,IL,Chicago,Deerfield,series-b,12/17/2012,2012-12,2012-Q4,2012,38000000
/company/itherapeutix,Ocular Therapeutix,no,biotech,USA,MA,Boston,"Bedford,",/company/baxter-international,Baxter International,biotech,USA,IL,Chicago,Deerfield,series-c+,6/10/2013,2013-06,2013-Q2,2013,8500000
/company/healthid-profile,HealthID Profile,no,health,USA,RI,Providence,Providence,/company/betaspring,Betaspring,other,USA,RI,Providence,Providence,angel,12/1/2012,2012-12,2012-Q4,2012,250000
/company/umbie-dentalcare,Umbie DentalCare,no,health,USA,RI,Providence,Providence,/company/betaspring,Betaspring,other,USA,RI,Providence,Providence,angel,10/1/2011,2011-10,2011-Q4,2011,150000
/company/nulabel-technologies,NuLabel Technologies,no,biotech,USA,RI,East Providence,East Providence,/company/betaspring,Betaspring,other,USA,RI,Providence,Providence,angel,6/1/2009,2009-06,2009-Q2,2009,
/company/biomimedica,Biomimedica,no,medical,USA,CA,SF Bay,South San Francisco,/company/biedermann-motech,Biedermann Motech,biotech,DEU,,Germany - Other,,series-b,6/22/2012,2012-06,2012-Q2,2012,11900000
/company/zyomyx-inc,ZYOMYX,no,biotech,USA,,SF Bay,Fremont,/company/bill-melinda-gates-foundation,Bill & Melinda Gates Foundation,biotech,USA,,Seattle,Seattle,series-b,6/30/2013,2013-06,2013-Q2,2013,12000000
/company/intellikine,Intellikine,yes,biotech,USA,CA,San Diego,La Jolla,/company/biogen-idec,Biogen Idec,biotech,USA,MA,Boston,Weston,series-b,7/22/2009,2009-07,2009-Q3,2009,51000000
/company/virdante-pharmaceuticals,Virdante Pharmaceuticals,no,biotech,USA,MA,Boston,Cambridge,/company/biogen-idec,Biogen Idec,biotech,USA,MA,Boston,Weston,series-a,11/25/2009,2009-11,2009-Q4,2009,30000000
/company/provasculon,Provasculon,no,biotech,USA,MA,Boston,Cambridge,/company/biogen-idec,Biogen Idec,biotech,USA,MA,Boston,Weston,series-a,3/24/2008,2008-03,2008-Q1,2008,6000000
/company/raven-biotechnologies,Raven Biotechnologies,no,biotech,USA,CA,SF Bay,South San Francisco,/company/biogen-idec,Biogen Idec,biotech,USA,MA,Boston,Weston,series-c+,10/12/2005,2005-10,2005-Q4,2005,48300000
/company/ipierian,iPierian,no,biotech,USA,CA,SF Bay,South San Francisco,/company/biogen-idec,Biogen Idec,biotech,USA,MA,Boston,Weston,series-b,9/9/2010,2010-09,2010-Q3,2010,28000000
/company/tetra-discovery,Tetra Discovery,no,biotech,USA,MI,Grand Rapids,Grand Rapids,/company/biosciences-research-commercialization-center,Biosciences Research & Commercialization Center,,,,unknown,,angel,9/30/2013,2013-09,2013-Q3,2013,1000000
/company/nephrogenex,NephroGenex,no,biotech,USA,NJ,Princeton,Princeton,/company/biostratum,BioStratum,,USA,NC,Raleigh-Durham,Durham,series-a,7/6/2007,2007-07,2007-Q3,2007,3300000
